# Nx1 = 1024
# x1-size = 1
# PRIMITIVE vars at Time = 0.210257, level= 0, domain= 0
# [1]=i-zone [2]=x1 [3]=d [4]=V1 [5]=V2 [6]=V3 [7]=P
    4 -4.99512e-01  1.00000e+00  5.04800e-21  0.00000e+00  0.00000e+00  1.00000e+00
    5 -4.98535e-01  1.00000e+00  9.85679e-21  0.00000e+00  0.00000e+00  1.00000e+00
    6 -4.97559e-01  1.00000e+00 -8.76903e-22  0.00000e+00  0.00000e+00  1.00000e+00
    7 -4.96582e-01  1.00000e+00  8.09620e-17  0.00000e+00  0.00000e+00  1.00000e+00
    8 -4.95605e-01  1.00000e+00  1.84521e-20  0.00000e+00  0.00000e+00  1.00000e+00
    9 -4.94629e-01  1.00000e+00 -7.21289e-20  0.00000e+00  0.00000e+00  1.00000e+00
   10 -4.93652e-01  1.00000e+00 -1.86624e-20  0.00000e+00  0.00000e+00  1.00000e+00
   11 -4.92676e-01  1.00000e+00  9.16772e-20  0.00000e+00  0.00000e+00  1.00000e+00
   12 -4.91699e-01  1.00000e+00 -3.56597e-20  0.00000e+00  0.00000e+00  1.00000e+00
   13 -4.90723e-01  1.00000e+00 -7.27531e-20  0.00000e+00  0.00000e+00  1.00000e+00
   14 -4.89746e-01  1.00000e+00  2.61932e-20  0.00000e+00  0.00000e+00  1.00000e+00
   15 -4.88770e-01  1.00000e+00  2.36213e-20  0.00000e+00  0.00000e+00  1.00000e+00
   16 -4.87793e-01  1.00000e+00 -2.26406e-20  0.00000e+00  0.00000e+00  1.00000e+00
   17 -4.86816e-01  1.00000e+00  3.97001e-20  0.00000e+00  0.00000e+00  1.00000e+00
   18 -4.85840e-01  1.00000e+00  8.09690e-17  0.00000e+00  0.00000e+00  1.00000e+00
   19 -4.84863e-01  1.00000e+00 -1.34361e-20  0.00000e+00  0.00000e+00  1.00000e+00
   20 -4.83887e-01  1.00000e+00 -5.27467e-20  0.00000e+00  0.00000e+00  1.00000e+00
   21 -4.82910e-01  1.00000e+00  5.15515e-20  0.00000e+00  0.00000e+00  1.00000e+00
   22 -4.81934e-01  1.00000e+00  6.00459e-20  0.00000e+00  0.00000e+00  1.00000e+00
   23 -4.80957e-01  1.00000e+00 -4.50699e-20  0.00000e+00  0.00000e+00  1.00000e+00
   24 -4.79980e-01  1.00000e+00  8.08808e-17  0.00000e+00  0.00000e+00  1.00000e+00
   25 -4.79004e-01  1.00000e+00  7.86306e-21  0.00000e+00  0.00000e+00  1.00000e+00
   26 -4.78027e-01  1.00000e+00  1.28567e-20  0.00000e+00  0.00000e+00  1.00000e+00
   27 -4.77051e-01  1.00000e+00 -2.53238e-20  0.00000e+00  0.00000e+00  1.00000e+00
   28 -4.76074e-01  1.00000e+00  4.13190e-20  0.00000e+00  0.00000e+00  1.00000e+00
   29 -4.75098e-01  1.00000e+00 -1.74104e-21  0.00000e+00  0.00000e+00  1.00000e+00
   30 -4.74121e-01  1.00000e+00 -4.75324e-20  0.00000e+00  0.00000e+00  1.00000e+00
   31 -4.73145e-01  1.00000e+00 -3.03761e-20  0.00000e+00  0.00000e+00  1.00000e+00
   32 -4.72168e-01  1.00000e+00  8.94632e-20  0.00000e+00  0.00000e+00  1.00000e+00
   33 -4.71191e-01  1.00000e+00  3.09818e-21  0.00000e+00  0.00000e+00  1.00000e+00
   34 -4.70215e-01  1.00000e+00 -5.39713e-20  0.00000e+00  0.00000e+00  1.00000e+00
   35 -4.69238e-01  1.00000e+00  8.09181e-17  0.00000e+00  0.00000e+00  1.00000e+00
   36 -4.68262e-01  1.00000e+00  3.13081e-20  0.00000e+00  0.00000e+00  1.00000e+00
   37 -4.67285e-01  1.00000e+00 -1.00297e-20  0.00000e+00  0.00000e+00  1.00000e+00
   38 -4.66309e-01  1.00000e+00  5.69313e-21  0.00000e+00  0.00000e+00  1.00000e+00
