# Nx1 = 1024
# x1-size = 1
# PRIMITIVE vars at Time = 0.190323, level= 0, domain= 0
# [1]=i-zone [2]=x1 [3]=d [4]=V1 [5]=V2 [6]=V3 [7]=P
    4 -4.99512e-01  1.00000e+00  4.21700e-21  0.00000e+00  0.00000e+00  1.00000e+00
    5 -4.98535e-01  1.00000e+00 -2.48661e-23  0.00000e+00  0.00000e+00  1.00000e+00
    6 -4.97559e-01  1.00000e+00 -3.93752e-20  0.00000e+00  0.00000e+00  1.00000e+00
    7 -4.96582e-01  1.00000e+00  4.47579e-21  0.00000e+00  0.00000e+00  1.00000e+00
    8 -4.95605e-01  1.00000e+00  4.51049e-20  0.00000e+00  0.00000e+00  1.00000e+00
    9 -4.94629e-01  1.00000e+00 -1.68775e-21  0.00000e+00  0.00000e+00  1.00000e+00
   10 -4.93652e-01  1.00000e+00  8.09278e-17  0.00000e+00  0.00000e+00  1.00000e+00
   11 -4.92676e-01  1.00000e+00  2.43409e-21  0.00000e+00  0.00000e+00  1.00000e+00
   12 -4.91699e-01  1.00000e+00 -6.75696e-22  0.00000e+00  0.00000e+00  1.00000e+00
   13 -4.90723e-01  1.00000e+00 -3.95903e-20  0.00000e+00  0.00000e+00  1.00000e+00
   14 -4.89746e-01  1.00000e+00  4.40265e-21  0.00000e+00  0.00000e+00  1.00000e+00
   15 -4.88770e-01  1.00000e+00  4.50245e-20  0.00000e+00  0.00000e+00  1.00000e+00
   16 -4.87793e-01  1.00000e+00 -2.22144e-21  0.00000e+00  0.00000e+00  1.00000e+00
   17 -4.86816e-01  1.00000e+00 -3.85208e-20  0.00000e+00  0.00000e+00  1.00000e+00
   18 -4.85840e-01  1.00000e+00  2.92920e-21  0.00000e+00  0.00000e+00  1.00000e+00
   19 -4.84863e-01  1.00000e+00  3.49003e-20  0.00000e+00  0.00000e+00  1.00000e+00
   20 -4.83887e-01  1.00000e+00  2.01217e-21  0.00000e+00  0.00000e+00  1.00000e+00
   21 -4.82910e-01  1.00000e+00  9.56748e-22  0.00000e+00  0.00000e+00  1.00000e+00
   22 -4.81934e-01  1.00000e+00  1.22425e-21  0.00000e+00  0.00000e+00  1.00000e+00
   23 -4.80957e-01  1.00000e+00 -4.10873e-23  0.00000e+00  0.00000e+00  1.00000e+00
   24 -4.79980e-01  1.00000e+00 -3.74780e-20  0.00000e+00  0.00000e+00  1.00000e+00
   25 -4.79004e-01  1.00000e+00  4.31519e-21  0.00000e+00  0.00000e+00  1.00000e+00
   26 -4.78027e-01  1.00000e+00  3.47208e-20  0.00000e+00  0.00000e+00  1.00000e+00
   27 -4.77051e-01  1.00000e+00  5.54415e-22  0.00000e+00  0.00000e+00  1.00000e+00
   28 -4.76074e-01  1.00000e+00 -3.17840e-20  0.00000e+00  0.00000e+00  1.00000e+00
   29 -4.75098e-01  1.00000e+00  7.64527e-21  0.00000e+00  0.00000e+00  1.00000e+00
   30 -4.74121e-01  1.00000e+00  2.12926e-20  0.00000e+00  0.00000e+00  1.00000e+00
   31 -4.73145e-01  1.00000e+00  8.09201e-17  0.00000e+00  0.00000e+00  1.00000e+00
   32 -4.72168e-01  1.00000e+00  5.47188e-21  0.00000e+00  0.00000e+00  1.00000e+00
   33 -4.71191e-01  1.00000e+00  5.37991e-21  0.00000e+00  0.00000e+00  1.00000e+00
   34 -4.70215e-01  1.00000e+00 -4.10934e-20  0.00000e+00  0.00000e+00  1.00000e+00
   35 -4.69238e-01  1.00000e+00 -2.80668e-20  0.00000e+00  0.00000e+00  1.00000e+00
   36 -4.68262e-01  1.00000e+00  5.22311e-20  0.00000e+00  0.00000e+00  1.00000e+00
   37 -4.67285e-01  1.00000e+00  8.09490e-17  0.00000e+00  0.00000e+00  1.00000e+00
   38 -4.66309e-01  1.00000e+00 -4.62917e-21  0.00000e+00  0.00000e+00  1.00000e+00
   39 -4.65332e-01  1.00000e+00 -1.37851e-20  0.00000e+00  0.00000e+00  1.00000e+00
   40 -4.64355e-01  1.00000e+00 -2.95131e-20  0.00000e+00  0.00000e+00  1.00000e+00
   41 -4.63379e-01  1.00000e+00  1.34234e-20  0.00000e+00  0.00000e+00  1.00000e+00
   42 -4.62402e-01  1.00000e+00  8.09357e-17  0.00000e+00  0.00000e+00  1.00000e+00
   43 -4.61426e-01  1.00000e+00  2.77140e-21  0.00000e+00  0.00000e+00  1.00000e+00
   44 -4.60449e-01  1.00000e+00  4.35719e-20  0.00000e+00  0.00000e+00  1.00000e+00
   45 -4.59473e-01  1.00000e+00 -7.82481e-20  0.00000e+00  0.00000e+00  1.00000e+00
   46 -4.58496e-01  1.00000e+00  8.09212e-17  0.00000e+00  0.00000e+00  1.00000e+00
   47 -4.57520e-01  1.00000e+00  8.70254e-20  0.00000e+00  0.00000e+00  1.00000e+00
   48 -4.56543e-01  1.00000e+00  8.46130e-21  0.00000e+00  0.00000e+00  1.00000e+00
   49 -4.55566e-01  1.00000e+00 -7.97121e-20  0.00000e+00  0.00000e+00  1.00000e+00
   50 -4.54590e-01  1.00000e+00  2.11653e-21  0.00000e+00  0.00000e+00  1.00000e+00
   51 -4.53613e-01  1.00000e+00  5.15612e-20  0.00000e+00  0.00000e+00  1.00000e+00
   52 -4.52637e-01  1.00000e+00 -1.02542e-22  0.00000e+00  0.00000e+00  1.00000e+00
   53 -4.51660e-01  1.00000e+00 -6.99761e-21  0.00000e+00  0.00000e+00  1.00000e+00
   54 -4.50684e-01  1.00000e+00  3.18465e-21  0.00000e+00  0.00000e+00  1.00000e+00
   55 -4.49707e-01  1.00000e+00  3.20270e-20  0.00000e+00  0.00000e+00  1.00000e+00
   56 -4.48730e-01  1.00000e+00 -7.01230e-20  0.00000e+00  0.00000e+00  1.00000e+00
   57 -4.47754e-01  1.00000e+00  1.16116e-20  0.00000e+00  0.00000e+00  1.00000e+00
   58 -4.46777e-01  1.00000e+00  5.79006e-20  0.00000e+00  0.00000e+00  1.00000e+00
   59 -4.45801e-01  1.00000e+00  8.09203e-17  0.00000e+00  0.00000e+00  1.00000e+00
   60 -4.44824e-01  1.00000e+00 -6.85935e-20  0.00000e+00  0.00000e+00  1.00000e+00
   61 -4.43848e-01  1.00000e+00  1.69686e-20  0.00000e+00  0.00000e+00  1.00000e+00
   62 -4.42871e-01  1.00000e+00 -1.05829e-21  0.00000e+00  0.00000e+00  1.00000e+00
   63 -4.41895e-01  1.00000e+00  8.09424e-17  0.00000e+00  0.00000e+00  1.00000e+00
   64 -4.40918e-01  1.00000e+00  3.88505e-20  0.00000e+00  0.00000e+00  1.00000e+00
   65 -4.39941e-01  1.00000e+00 -2.56958e-21  0.00000e+00  0.00000e+00  1.00000e+00
   66 -4.38965e-01  1.00000e+00 -1.12288e-20  0.00000e+00  0.00000e+00  1.00000e+00
   67 -4.37988e-01  1.00000e+00 -3.92421e-20  0.00000e+00  0.00000e+00  1.00000e+00
   68 -4.37012e-01  1.00000e+00  5.43743e-20  0.00000e+00  0.00000e+00  1.00000e+00
   69 -4.36035e-01  1.00000e+00  2.68006e-20  0.00000e+00  0.00000e+00  1.00000e+00
   70 -4.35059e-01  1.00000e+00 -5.07970e-20  0.00000e+00  0.00000e+00  1.00000e+00
   71 -4.34082e-01  1.00000e+00 -6.68413e-20  0.00000e+00  0.00000e+00  1.00000e+00
   72 -4.33105e-01  1.00000e+00  6.10827e-20  0.00000e+00  0.00000e+00  1.00000e+00
   73 -4.32129e-01  1.00000e+00 -4.43265e-21  0.00000e+00  0.00000e+00  1.00000e+00
   74 -4.31152e-01  1.00000e+00  8.09239e-17  0.00000e+00  0.00000e+00  1.00000e+00
   75 -4.30176e-01  1.00000e+00  3.64506e-20  0.00000e+00  0.00000e+00  1.00000e+00
   76 -4.29199e-01  1.00000e+00 -2.61602e-20  0.00000e+00  0.00000e+00  1.00000e+00
   77 -4.28223e-01  1.00000e+00 -7.00478e-20  0.00000e+00  0.00000e+00  1.00000e+00
