# Nx1 = 1024
# x1-size = 1
# PRIMITIVE vars at Time = 0.230191, level= 0, domain= 0
# [1]=i-zone [2]=x1 [3]=d [4]=V1 [5]=V2 [6]=V3 [7]=P
    4 -4.99512e-01  1.00000e+00 -4.51156e-20  0.00000e+00  0.00000e+00  1.00000e+00
    5 -4.98535e-01  1.00000e+00 -2.45343e-20  0.00000e+00  0.00000e+00  1.00000e+00
    6 -4.97559e-01  1.00000e+00  8.09861e-17  0.00000e+00  0.00000e+00  1.00000e+00
    7 -4.96582e-01  1.00000e+00  9.71244e-20  0.00000e+00  0.00000e+00  1.00000e+00
    8 -4.95605e-01  1.00000e+00 -1.89324e-21  0.00000e+00  0.00000e+00  1.00000e+00
    9 -4.94629e-01  1.00000e+00 -6.19671e-20  0.00000e+00  0.00000e+00  1.00000e+00
   10 -4.93652e-01  1.00000e+00 -2.05334e-20  0.00000e+00  0.00000e+00  1.00000e+00
   11 -4.92676e-01  1.00000e+00  2.16763e-20  0.00000e+00  0.00000e+00  1.00000e+00
   12 -4.91699e-01  1.00000e+00 -4.18932e-20  0.00000e+00  0.00000e+00  1.00000e+00
   13 -4.90723e-01  1.00000e+00 -1.32315e-20  0.00000e+00  0.00000e+00  1.00000e+00
   14 -4.89746e-01  1.00000e+00 -2.95100e-22  0.00000e+00  0.00000e+00  1.00000e+00
   15 -4.88770e-01  1.00000e+00  3.06726e-20  0.00000e+00  0.00000e+00  1.00000e+00
   16 -4.87793e-01  1.00000e+00 -3.91724e-20  0.00000e+00  0.00000e+00  1.00000e+00
   17 -4.86816e-01  1.00000e+00  4.20408e-20  0.00000e+00  0.00000e+00  1.00000e+00
   18 -4.85840e-01  1.00000e+00  8.09901e-17  0.00000e+00  0.00000e+00  1.00000e+00
   19 -4.84863e-01  1.00000e+00  2.95546e-20  0.00000e+00  0.00000e+00  1.00000e+00
   20 -4.83887e-01  1.00000e+00 -3.23713e-20  0.00000e+00  0.00000e+00  1.00000e+00
   21 -4.82910e-01  1.00000e+00  3.24733e-20  0.00000e+00  0.00000e+00  1.00000e+00
   22 -4.81934e-01  1.00000e+00 -1.86910e-20  0.00000e+00  0.00000e+00  1.00000e+00
   23 -4.80957e-01  1.00000e+00 -4.22690e-20  0.00000e+00  0.00000e+00  1.00000e+00
   24 -4.79980e-01  1.00000e+00 -3.47270e-20  0.00000e+00  0.00000e+00  1.00000e+00
   25 -4.79004e-01  1.00000e+00 -3.56442e-20  0.00000e+00  0.00000e+00  1.00000e+00
   26 -4.78027e-01  1.00000e+00  3.44737e-20  0.00000e+00  0.00000e+00  1.00000e+00
   27 -4.77051e-01  1.00000e+00 -5.41818e-21  0.00000e+00  0.00000e+00  1.00000e+00
   28 -4.76074e-01  1.00000e+00  1.96239e-20  0.00000e+00  0.00000e+00  1.00000e+00
   29 -4.75098e-01  1.00000e+00 -1.69092e-20  0.00000e+00  0.00000e+00  1.00000e+00
   30 -4.74121e-01  1.00000e+00 -4.11090e-22  0.00000e+00  0.00000e+00  1.00000e+00
   31 -4.73145e-01  1.00000e+00  2.28102e-20  0.00000e+00  0.00000e+00  1.00000e+00
   32 -4.72168e-01  1.00000e+00  8.41433e-20  0.00000e+00  0.00000e+00  1.00000e+00
   33 -4.71191e-01  1.00000e+00 -3.20502e-20  0.00000e+00  0.00000e+00  1.00000e+00
   34 -4.70215e-01  1.00000e+00 -4.93428e-20  0.00000e+00  0.00000e+00  1.00000e+00
   35 -4.69238e-01  1.00000e+00 -2.71065e-20  0.00000e+00  0.00000e+00  1.00000e+00
   36 -4.68262e-01  1.00000e+00 -6.63484e-22  0.00000e+00  0.00000e+00  1.00000e+00
   37 -4.67285e-01  1.00000e+00 -2.14235e-21  0.00000e+00  0.00000e+00  1.00000e+00
   38 -4.66309e-01  1.00000e+00  7.55045e-22  0.00000e+00  0.00000e+00  1.00000e+00
   39 -4.65332e-01  1.00000e+00 -3.35496e-20  0.00000e+00  0.00000e+00  1.00000e+00
   40 -4.64355e-01  1.00000e+00 -3.87404e-21  0.00000e+00  0.00000e+00  1.00000e+00
   41 -4.63379e-01  1.00000e+00  1.85106e-21  0.00000e+00  0.00000e+00  1.00000e+00
   42 -4.62402e-01  1.00000e+00  3.25191e-20  0.00000e+00  0.00000e+00  1.00000e+00
   43 -4.61426e-01  1.00000e+00  8.95847e-20  0.00000e+00  0.00000e+00  1.00000e+00
   44 -4.60449e-01  1.00000e+00  8.09587e-17  0.00000e+00  0.00000e+00  1.00000e+00
   45 -4.59473e-01  1.00000e+00 -7.16186e-20  0.00000e+00  0.00000e+00  1.00000e+00
   46 -4.58496e-01  1.00000e+00 -2.84300e-20  0.00000e+00  0.00000e+00  1.00000e+00
   47 -4.57520e-01  1.00000e+00 -1.48154e-21  0.00000e+00  0.00000e+00  1.00000e+00
   48 -4.56543e-01  1.00000e+00 -2.45100e-20  0.00000e+00  0.00000e+00  1.00000e+00
   49 -4.55566e-01  1.00000e+00 -1.65928e-20  0.00000e+00  0.00000e+00  1.00000e+00
   50 -4.54590e-01  1.00000e+00 -5.11716e-20  0.00000e+00  0.00000e+00  1.00000e+00
   51 -4.53613e-01  1.00000e+00  4.81301e-21  0.00000e+00  0.00000e+00  1.00000e+00
   52 -4.52637e-01  1.00000e+00  1.68825e-20  0.00000e+00  0.00000e+00  1.00000e+00
   53 -4.51660e-01  1.00000e+00  7.78362e-20  0.00000e+00  0.00000e+00  1.00000e+00
   54 -4.50684e-01  1.00000e+00  5.02950e-20  0.00000e+00  0.00000e+00  1.00000e+00
   55 -4.49707e-01  1.00000e+00  3.15584e-20  0.00000e+00  0.00000e+00  1.00000e+00
   56 -4.48730e-01  1.00000e+00 -5.34220e-20  0.00000e+00  0.00000e+00  1.00000e+00
   57 -4.47754e-01  1.00000e+00  2.54779e-20  0.00000e+00  0.00000e+00  1.00000e+00
   58 -4.46777e-01  1.00000e+00 -2.41283e-20  0.00000e+00  0.00000e+00  1.00000e+00
   59 -4.45801e-01  1.00000e+00  8.09310e-17  0.00000e+00  0.00000e+00  1.00000e+00
   60 -4.44824e-01  1.00000e+00 -3.23803e-20  0.00000e+00  0.00000e+00  1.00000e+00
   61 -4.43848e-01  1.00000e+00 -4.94451e-20  0.00000e+00  0.00000e+00  1.00000e+00
   62 -4.42871e-01  1.00000e+00 -1.10293e-20  0.00000e+00  0.00000e+00  1.00000e+00
   63 -4.41895e-01  1.00000e+00  3.90361e-21  0.00000e+00  0.00000e+00  1.00000e+00
   64 -4.40918e-01  1.00000e+00  6.40612e-20  0.00000e+00  0.00000e+00  1.00000e+00
   65 -4.39941e-01  1.00000e+00 -3.22557e-20  0.00000e+00  0.00000e+00  1.00000e+00
   66 -4.38965e-01  1.00000e+00 -2.27396e-20  0.00000e+00  0.00000e+00  1.00000e+00
   67 -4.37988e-01  1.00000e+00  1.15970e-20  0.00000e+00  0.00000e+00  1.00000e+00
   68 -4.37012e-01  1.00000e+00  1.15750e-19  0.00000e+00  0.00000e+00  1.00000e+00
   69 -4.36035e-01  1.00000e+00  8.09205e-17  0.00000e+00  0.00000e+00  1.00000e+00
   70 -4.35059e-01  1.00000e+00 -3.75220e-20  0.00000e+00  0.00000e+00  1.00000e+00
   71 -4.34082e-01  1.00000e+00 -3.45216e-20  0.00000e+00  0.00000e+00  1.00000e+00
   72 -4.33105e-01  1.00000e+00  1.02780e-20  0.00000e+00  0.00000e+00  1.00000e+00
   73 -4.32129e-01  1.00000e+00 -2.32266e-20  0.00000e+00  0.00000e+00  1.00000e+00
   74 -4.31152e-01  1.00000e+00  1.99224e-20  0.00000e+00  0.00000e+00  1.00000e+00
   75 -4.30176e-01  1.00000e+00 -2.17971e-20  0.00000e+00  0.00000e+00  1.00000e+00
   76 -4.29199e-01  1.00000e+00 -1.10460e-19  0.00000e+00  0.00000e+00  1.00000e+00
   77 -4.28223e-01  1.00000e+00 -4.82994e-20  0.00000e+00  0.00000e+00  1.00000e+00
   78 -4.27246e-01  1.00000e+00  1.62547e-19  0.00000e+00  0.00000e+00  1.00000e+00
   79 -4.26270e-01  1.00000e+00  1.19364e-19  0.00000e+00  0.00000e+00  1.00000e+00
   80 -4.25293e-01  1.00000e+00 -2.77583e-20  0.00000e+00  0.00000e+00  1.00000e+00
   81 -4.24316e-01  1.00000e+00  8.08870e-17  0.00000e+00  0.00000e+00  1.00000e+00
   82 -4.23340e-01  1.00000e+00 -8.10378e-21  0.00000e+00  0.00000e+00  1.00000e+00
   83 -4.22363e-01  1.00000e+00  5.43064e-21  0.00000e+00  0.00000e+00  1.00000e+00
   84 -4.21387e-01  1.00000e+00 -2.88736e-20  0.00000e+00  0.00000e+00  1.00000e+00
   85 -4.20410e-01  1.00000e+00 -1.23945e-20  0.00000e+00  0.00000e+00  1.00000e+00
   86 -4.19434e-01  1.00000e+00 -5.94482e-20  0.00000e+00  0.00000e+00  1.00000e+00
   87 -4.18457e-01  1.00000e+00 -5.24874e-20  0.00000e+00  0.00000e+00  1.00000e+00
   88 -4.17480e-01  1.00000e+00 -5.79802e-20  0.00000e+00  0.00000e+00  1.00000e+00
   89 -4.16504e-01  1.00000e+00  1.23572e-19  0.00000e+00  0.00000e+00  1.00000e+00
   90 -4.15527e-01  1.00000e+00  8.10495e-17  0.00000e+00  0.00000e+00  1.00000e+00
   91 -4.14551e-01  1.00000e+00 -9.41199e-21  0.00000e+00  0.00000e+00  1.00000e+00
   92 -4.13574e-01  1.00000e+00 -4.72290e-20  0.00000e+00  0.00000e+00  1.00000e+00
   93 -4.12598e-01  1.00000e+00  6.56063e-20  0.00000e+00  0.00000e+00  1.00000e+00
   94 -4.11621e-01  1.00000e+00 -3.25895e-20  0.00000e+00  0.00000e+00  1.00000e+00
   95 -4.10645e-01  1.00000e+00 -1.12324e-21  0.00000e+00  0.00000e+00  1.00000e+00
   96 -4.09668e-01  1.00000e+00 -4.42763e-20  0.00000e+00  0.00000e+00  1.00000e+00
   97 -4.08691e-01  1.00000e+00 -7.56208e-20  0.00000e+00  0.00000e+00  1.00000e+00
   98 -4.07715e-01  1.00000e+00 -4.59724e-20  0.00000e+00  0.00000e+00  1.00000e+00
   99 -4.06738e-01  1.00000e+00  1.41701e-20  0.00000e+00  0.00000e+00  1.00000e+00
  100 -4.05762e-01  1.00000e+00  9.39680e-20  0.00000e+00  0.00000e+00  1.00000e+00
  101 -4.04785e-01  1.00000e+00  8.09452e-17  0.00000e+00  0.00000e+00  1.00000e+00
  102 -4.03809e-01  1.00000e+00 -3.15978e-20  0.00000e+00  0.00000e+00  1.00000e+00
  103 -4.02832e-01  1.00000e+00  3.57909e-20  0.00000e+00  0.00000e+00  1.00000e+00
  104 -4.01855e-01  1.00000e+00  1.15326e-19  0.00000e+00  0.00000e+00  1.00000e+00
  105 -4.00879e-01  1.00000e+00 -4.95030e-20  0.00000e+00  0.00000e+00  1.00000e+00
  106 -3.99902e-01  1.00000e+00 -1.29831e-20  0.00000e+00  0.00000e+00  1.00000e+00
  107 -3.98926e-01  1.00000e+00 -6.48295e-20  0.00000e+00  0.00000e+00  1.00000e+00
  108 -3.97949e-01  1.00000e+00 -8.06164e-20  0.00000e+00  0.00000e+00  1.00000e+00
  109 -3.96973e-01  1.00000e+00 -8.21464e-21  0.00000e+00  0.00000e+00  1.00000e+00
  110 -3.95996e-01  1.00000e+00  9.30828e-20  0.00000e+00  0.00000e+00  1.00000e+00
  111 -3.95020e-01  1.00000e+00  8.09361e-17  0.00000e+00  0.00000e+00  1.00000e+00
  112 -3.94043e-01  1.00000e+00 -8.66695e-20  0.00000e+00  0.00000e+00  1.00000e+00
  113 -3.93066e-01  1.00000e+00 -8.09936e-20  0.00000e+00  0.00000e+00  1.00000e+00
  114 -3.92090e-01  1.00000e+00  1.39690e-19  0.00000e+00  0.00000e+00  1.00000e+00
  115 -3.91113e-01  1.00000e+00  1.71365e-19  0.00000e+00  0.00000e+00  1.00000e+00
  116 -3.90137e-01  1.00000e+00 -4.17961e-20  0.00000e+00  0.00000e+00  1.00000e+00
  117 -3.89160e-01  1.00000e+00 -5.62355e-20  0.00000e+00  0.00000e+00  1.00000e+00
  118 -3.88184e-01  1.00000e+00 -4.89785e-20  0.00000e+00  0.00000e+00  1.00000e+00
  119 -3.87207e-01  1.00000e+00  8.08937e-17  0.00000e+00  0.00000e+00  1.00000e+00
  120 -3.86230e-01  1.00000e+00  2.00425e-20  0.00000e+00  0.00000e+00  1.00000e+00
  121 -3.85254e-01  1.00000e+00  4.70555e-20  0.00000e+00  0.00000e+00  1.00000e+00
  122 -3.84277e-01  1.00000e+00 -9.74590e-20  0.00000e+00  0.00000e+00  1.00000e+00
  123 -3.83301e-01  1.00000e+00  8.08722e-17  0.00000e+00  0.00000e+00  1.00000e+00
  124 -3.82324e-01  1.00000e+00 -4.17545e-21  0.00000e+00  0.00000e+00  1.00000e+00
  125 -3.81348e-01  1.00000e+00  1.10962e-19  0.00000e+00  0.00000e+00  1.00000e+00
  126 -3.80371e-01  1.00000e+00  7.68180e-20  0.00000e+00  0.00000e+00  1.00000e+00
  127 -3.79395e-01  1.00000e+00 -8.56781e-21  0.00000e+00  0.00000e+00  1.00000e+00
  128 -3.78418e-01  1.00000e+00  8.09317e-17  0.00000e+00  0.00000e+00  1.00000e+00
  129 -3.77441e-01  1.00000e+00 -7.52938e-21  0.00000e+00  0.00000e+00  1.00000e+00
  130 -3.76465e-01  1.00000e+00 -9.54440e-20  0.00000e+00  0.00000e+00  1.00000e+00
  131 -3.75488e-01  1.00000e+00  4.92707e-20  0.00000e+00  0.00000e+00  1.00000e+00
  132 -3.74512e-01  1.00000e+00  7.95196e-23  0.00000e+00  0.00000e+00  1.00000e+00
  133 -3.73535e-01  1.00000e+00 -1.03413e-19  0.00000e+00  0.00000e+00  1.00000e+00
  134 -3.72559e-01  1.00000e+00 -4.00264e-20  0.00000e+00  0.00000e+00  1.00000e+00
  135 -3.71582e-01  1.00000e+00  3.83184e-20  0.00000e+00  0.00000e+00  1.00000e+00
  136 -3.70605e-01  1.00000e+00  7.76569e-20  0.00000e+00  0.00000e+00  1.00000e+00
  137 -3.69629e-01  1.00000e+00  4.14095e-20  0.00000e+00  0.00000e+00  1.00000e+00
  138 -3.68652e-01  1.00000e+00  6.54022e-21  0.00000e+00  0.00000e+00  1.00000e+00
